Protocolo,Motivo,Fecha Toma Muestra,Semana Epidemiológica,Rup Toma Muestra,"Rup Toma
 Muestra2",Coordenada X,Coordenada y,Huso,longitude,latitude,Región ,Comuna,Comuna2,Temp Min,Temp Max,Humedad relativa (%),Precipitación diaria,Precipitacion mensual acumulada,Especie,Nombre científico,Familia,Orden,Categoria,N° animal muestreado,Total Muestras,RT-PCR Tiempo Real IA Matrix A +,RT-PCR Tiempo Real IA Matrix A -,IDAG +,IDAG -,Secuenciación,Clasificación,Comentarios
228245,Vigilancia,15/12/2022,50,02.1.02.0046,02.1.02.0046,367992,7486224,19,-70.28546014,-22.72613807,Antofagasta,MEJILLONES,MEJILLONES,15.8,24.3,67.4,0,0,Jote de cabeza colorada,Cathartes aura,Cathartidae,Cathartiformes,Aves Silvestres,4,4,3,1,,,,Positivo,
228252,Vigilancia,17/12/2022,51,02.1.01.0088,02.1.01.0088,357488,7384657,19,-70.39721775,-23.6424894,Antofagasta,ANTOFAGASTA,ANTOFAGASTA,16.9,23.7,64.8,0,0,Jote de cabeza colorada,Cathartes aura,Cathartidae,Cathartiformes,Aves Silvestres,1,2,2,,,,,Positivo,
228440,Vigilancia,19/12/2022,51,01.1.01.0073,01.1.01.0073,379592,7761943,19,-70.15274149,-20.23636668,Tarapacá,IQUIQUE,IQUIQUE,18.4,24.2,63.2,0,0,Jote de cabeza colorada,Cathartes aura,Cathartidae,Cathartiformes,Aves Silvestres,1,2,2,,,,,Positivo,
228579,Vigilancia,19/12/2022,51,15.1.01.0996,15.1.01.0996,362700,7959016,19,-70.30024736,-18.45468015,Arica,ARICA,ARICA,18.8,24.8,66.4,0,0,Jote de cabeza colorada,Cathartes aura,Cathartidae,Cathartiformes,Aves Silvestres,1,2,2,,,,,Positivo,
228576,Vigilancia,20/12/2022,52,02.1.01.0088,02.1.01.0088,357488,7384657,19,-70.39721775,-23.6424894,Antofagasta,ANTOFAGASTA,ANTOFAGASTA,17.4,23.8,71.8,0,0,Jote de cabeza colorada,Cathartes aura,Cathartidae,Cathartiformes,Aves Silvestres,3,6,4,2,,,,Positivo,
228705,Vigilancia,20/12/2022,52,02.1.02.0071,02.1.02.0071,355485,7446108,19,-70.41096718,-23.08739243,Antofagasta,MEJILLONES,MEJILLONES,16.2,29.1,64.1,0,0,Jote de cabeza colorada,Cathartes aura,Cathartidae,Cathartiformes,Aves Silvestres,1,2,2,,,,,Positivo,
230187,Denuncia,31/12/2022,53,05.1.09.0059,05.1.09.0059,263079,6344270,19,-71.53626744,-33.01429591,Valparaíso,VIÑA DEL MAR,VIÑA DEL MAR,13.5,19.3,85.2,1.3,5.9,Jote de cabeza colorada,Cathartes aura,Cathartidae,Cathartiformes,Aves Silvestres,1,2,2,,,,H5N1,Positivo,
234887,Denuncia,31/01/2023,5,06.2.05.0744,06.2.05.0744,234661,6239182,19,-71.87126808,-33.95442508,O'Higgins,NAVIDAD,NAVIDAD,7.4,19.3,86.9,0,0,Jote de cabeza colorada,Cathartes aura,Cathartidae,Cathartiformes,Aves Silvestres,2,2,2,,,,H5N1,Positivo,
236377,Vigilancia,9/02/2023,6,01.1.01.0059,01.1.01.0059,380771,7765756,19,-70.14120458,-20.20199129,Tarapacá,IQUIQUE,IQUIQUE,19.9,27,64,0,0,Jote de cabeza colorada,Cathartes aura,Cathartidae,Cathartiformes,Aves Silvestres,1,1,1,,,,H5N1,Positivo,
236643,Vigilancia,13/02/2023,7,02.1.01.0111,02.1.01.0111,357427,7384164,19,-70.39786296,-23.6469358,Antofagasta,ANTOFAGASTA,ANTOFAGASTA,19,26,71.6,0,0,Jote de cabeza colorada,Cathartes aura,Cathartidae,Cathartiformes,Aves Silvestres,1,1,1,,,,H5N1,Positivo,
236766,Vigilancia,14/02/2023,7,02.1.01.0085,02.1.01.0085,354423,7400134,19,-70.42575054,-23.50245883,Antofagasta,ANTOFAGASTA,ANTOFAGASTA,18.5,25.4,71.4,0,0,Jote de cabeza colorada,Cathartes aura,Cathartidae,Cathartiformes,Aves Silvestres,1,1,1,,,,H5N1,Positivo,
236976,Vigilancia,15/02/2023,7,05.4.01.1540,05.4.01.1540,266120,6428522,19,-71.48266791,-32.25564571,Valparaíso,LA LIGUA,LA LIGUA,7.3,24.6,72,0,0,Jote de cabeza colorada,Cathartes aura,Cathartidae,Cathartiformes,Aves Silvestres,1,1,1,,,,H5N1,Positivo,
